"Timestamp","What is your Rice Purity Test Score?","What is your sexuality?","What is your sex?","What gender do you identify with?","Are you transgender?","What is your age?","How would you define yourself politically?","Would you consider yourself religious?","How concerned are you about climate change?","Select the drugs below you think should be decriminalized:","Do you think the police service funding should be:","How many times a week do you masturbate?","How often do you have sex in a month?","Would you consider yourself ""sexually free""?","Would you describe yourself as a kinky person?","Do you think your parents be disappointed in you if they knew the details of your sex life?","How scared are you of catching STDs/STIs?","How scared are you of having/causing an unwanted pregnancy?","What is the highest education level you have completed OR are currently pursuing?","How many years have you lived apart from your parents?","What is your annual income?","Would you say you are a(n):","Would you consider yourself a healthy person?"
"2020/11/16 4:12:55 AM CST","58","Heterosexual","Male","Male","No","20","Left","No","Decently concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","2 - 4","I have had sex, but not recently, or not frequent enough to be monthly","Maybe","No","I don't know","A little scared","Not at all scared","Associate's Degree (2 year)","1 - 2","$0 - $10,000","Ambivert","No"
"2020/11/16 4:13:59 AM CST","92","Heterosexual","Female","Female","No","18","Right","No","Somewhat concerned","Marijuana;Psychedelics","Left the way it is","2 - 4","I have never had sex","No","Yes","I don't know","Decently scared","Very scared","Associate's Degree (2 year)","0 (I have never lived apart from my parents)","$0 - $10,000","Introvert","No"
"2020/11/16 4:14:04 AM CST","97","Bisexual","Female","Female","No","18","Left","No","Very concerned","I don't think any of these drugs should be decriminalized","Lessened","1","I have never had sex","Yes","No","No","Not at all scared","Not Applicable","High School / GED Equivalent","0 (I have never lived apart from my parents)","$0 - $10,000","Extrovert","Yes"
"2020/11/16 4:15:47 AM CST","24","Bisexual","Female","Female","No","21","Left","Yes","Very concerned","Marijuana;Psychedelics","Left the way it is","5 - 7","15 - 25 times","Maybe","Yes","Yes","A little scared","Decently scared","Bachelor's Degree (4 year)","3 - 5","$0 - $10,000","Ambivert","Maybe"
"2020/11/16 4:16:29 AM CST","35","Bisexual","Female","Female","No","18","Left","Maybe","Decently concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","7 - 10","3 - 8 times","Maybe","Yes","I don't know","Somewhat scared","Decently scared","High School / GED Equivalent","0 (I have never lived apart from my parents)","$0 - $10,000","Ambivert","Maybe"
"2020/11/16 4:16:55 AM CST","41","Heterosexual","Female","Female","No","24","Center","No","Decently concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","1","9 - 15 times","Yes","No","I don't know","A little scared","A little scared","Master's Degree","1 - 2","$10,001 - $30,000","Ambivert","Yes"
"2020/11/16 4:18:13 AM CST","56","Heterosexual","Male","Male","No","32","Left","No","Decently concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Increased","2 - 4","I have had sex, but not recently, or not frequent enough to be monthly","Maybe","Yes","No","Not at all scared","Not at all scared","Bachelor's Degree (4 year)","10+","$160,001+","Ambivert","Yes"
"2020/11/16 4:18:34 AM CST","42","Bisexual","Female","Female","No","19","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","2 - 4","9 - 15 times","Yes","Yes","I don't know","Not at all scared","Not at all scared","Bachelor's Degree (4 year)","0 (I have never lived apart from my parents)","$30,001 - $50,000","Introvert","No"
"2020/11/16 4:18:35 AM CST","76","Bisexual","Male","Male","No","18","Left","Yes","Very concerned","Marijuana","Lessened","7 - 10","I have never had sex","No","Yes","Yes","Decently scared","Very scared","High School / GED Equivalent","0 (I have never lived apart from my parents)","$0 - $10,000","Extrovert","Yes"
"2020/11/16 4:20:57 AM CST","31","Queer","Female","Agender","Maybe","22","Left","No","Decently concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Abolished","1","I have had sex, but not recently, or not frequent enough to be monthly","Yes","Yes","Yes","Decently scared","Very scared","High School / GED Equivalent","1 - 2","$0 - $10,000","Ambivert","No"
